gene,variant_class,count,proportion,modal_inheritance,Phenotype,Note
COL4A5,SNV,53,0.22268907563025211,XL,Glomerular,NA
COL4A3,SNV,40,0.16806722689075632,AD,Glomerular,NA
COL4A4,SNV,27,0.1134453781512605,AD,Glomerular,NA
COL4A5,INDEL,19,0.07983193277310924,XL,Glomerular,NA
NPHS2,INDEL,9,0.037815126050420166,AR,Glomerular,NA
COL4A3,INDEL,8,0.03361344537815126,AD,Glomerular,NA
COL4A4,INDEL,7,0.029411764705882353,AD,Glomerular,NA
COQ8B,SNV,4,0.01680672268907563,AR,Glomerular,NA
INF2,SNV,4,0.01680672268907563,AD,Glomerular,NA
NPHS2,SNV,4,0.01680672268907563,AR,Glomerular,NA
NPHS1,SNV,3,0.012605042016806723,AR,Glomerular,NA
PAX2,SNV,3,0.012605042016806723,AD,Glomerular,NA
PKHD1,SNV,3,0.012605042016806723,AR,Glomerular,NA
SLC12A3,SNV,3,0.012605042016806723,AR,Glomerular,NA
TTC21B,SNV,3,0.012605042016806723,AR,Glomerular,NA
C3,SNV,2,0.008403361344537815,AD,Glomerular,NA
CEP290,SNV,2,0.008403361344537815,AR,Glomerular,NA
COL4A5,CNV,2,0.008403361344537815,XL,Glomerular,NA
CYP24A1,SNV,2,0.008403361344537815,AR,Glomerular,NA
DNASE1,INDEL,2,0.008403361344537815,AD,Glomerular,NA
FN1,SNV,2,0.008403361344537815,AD,Glomerular,NA
LMNA,SNV,2,0.008403361344537815,AD,Glomerular,NA
PODXL,INDEL,2,0.008403361344537815,AD,Glomerular,NA
ADCY10,SNV,1,0.004201680672268907,AD,Glomerular,NA
ALMS1,INDEL,1,0.004201680672268907,AR,Glomerular,NA
APOA1,INDEL,1,0.004201680672268907,AD,Glomerular,NA
CFH,SNV,1,0.004201680672268907,AD,Glomerular,NA
CLCN5,SNV,1,0.004201680672268907,XL,Glomerular,NA
COL4A1,SNV,1,0.004201680672268907,AD,Glomerular,NA
COL4A3,CNV,1,0.004201680672268907,AD,Glomerular,NA
COL4A4,CNV,1,0.004201680672268907,AD,Glomerular,NA
COL4A6,CNV,1,0.004201680672268907,XL,Glomerular,NA
COQ8B,INDEL,1,0.004201680672268907,AR,Glomerular,NA
CUBN,CNV,1,0.004201680672268907,AR,Glomerular,NA
CUBN,INDEL,1,0.004201680672268907,AR,Glomerular,NA
CYP24A1,INDEL,1,0.004201680672268907,AR,Glomerular,NA
EYA1,CNV,1,0.004201680672268907,AD,Glomerular,NA
FANCI,SNV,1,0.004201680672268907,AR,Glomerular,NA
KLHL3,SNV,1,0.004201680672268907,AD,Glomerular,NA
LMX1B,SNV,1,0.004201680672268907,AD,Glomerular,NA
NOTCH2,SNV,1,0.004201680672268907,AD,Glomerular,NA
NPHP1,SNV,1,0.004201680672268907,AR,Glomerular,NA
NUP93,SNV,1,0.004201680672268907,AR,Glomerular,NA
PAX2,INDEL,1,0.004201680672268907,AD,Glomerular,NA
PKD1,SNV,1,0.004201680672268907,AD,Glomerular,NA
PKHD1,INDEL,1,0.004201680672268907,AR,Glomerular,NA
PODXL,SNV,1,0.004201680672268907,AD,Glomerular,NA
RCAN1,SNV,1,0.004201680672268907,AD,Glomerular,NA
SALL1,INDEL,1,0.004201680672268907,AD,Glomerular,NA
SALL1,SNV,1,0.004201680672268907,AD,Glomerular,NA
TBC1D8B,SNV,1,0.004201680672268907,XL,Glomerular,NA
UMOD,INDEL,1,0.004201680672268907,AD,Glomerular,NA
UMOD,SNV,1,0.004201680672268907,AD,Glomerular,NA
WNK1,SNV,1,0.004201680672268907,AD,Glomerular,NA
WT1,INDEL,1,0.004201680672268907,AD,Glomerular,NA
COL4A5,SNV,9,0.08108108108108109,XL,CKDu,NA
COL4A3,SNV,8,0.07207207207207207,AD,CKDu,NA
COL4A3,INDEL,5,0.04504504504504504,AD,CKDu,NA
COL4A4,SNV,4,0.036036036036036036,AD,CKDu,NA
INF2,SNV,4,0.036036036036036036,AD,CKDu,NA
PKD1,SNV,4,0.036036036036036036,AD,CKDu,NA
CLCN5,INDEL,3,0.02702702702702703,XL,CKDu,NA
PAX2,SNV,3,0.02702702702702703,AD,CKDu,NA
SLC4A1,SNV,3,0.02702702702702703,AD,CKDu,NA
APOL1,SNV,2,0.018018018018018018,AD,CKDu,NA
CLCN5,SNV,2,0.018018018018018018,XL,CKDu,NA
CLDN19,SNV,2,0.018018018018018018,AR,CKDu,NA
DYNC2H1,SNV,2,0.018018018018018018,AR,CKDu,NA
FAN1,INDEL,2,0.018018018018018018,AR,CKDu,NA
FGA,INDEL,2,0.018018018018018018,AD,CKDu,NA
NPHS2,SNV,2,0.018018018018018018,AR,CKDu,NA
PKD1,INDEL,2,0.018018018018018018,AD,CKDu,NA
SDCCAG8,SNV,2,0.018018018018018018,AR,CKDu,NA
SLC34A1,INDEL,2,0.018018018018018018,AR,CKDu,NA
UMOD,SNV,2,0.018018018018018018,AD,CKDu,NA
AGXT,INDEL,1,0.009009009009009009,AR,CKDu,NA
BBS10,INDEL,1,0.009009009009009009,AR,CKDu,NA
BBS2,INDEL,1,0.009009009009009009,AR,CKDu,NA
BBS2,SNV,1,0.009009009009009009,AR,CKDu,NA
CHD1L,CNV,1,0.009009009009009009,AD,CKDu,NA
CLCNKB,SNV,1,0.009009009009009009,AR,CKDu,NA
COL4A1,SNV,1,0.009009009009009009,AD,CKDu,NA
COQ8B,SNV,1,0.009009009009009009,AR,CKDu,NA
DNASE1,CNV,1,0.009009009009009009,AD,CKDu,NA
DNASE1,INDEL,1,0.009009009009009009,AD,CKDu,NA
FAN1,SNV,1,0.009009009009009009,AR,CKDu,NA
FN1,SNV,1,0.009009009009009009,AD,CKDu,NA
GLA,SNV,1,0.009009009009009009,XL,CKDu,NA
HNF1B,SNV,1,0.009009009009009009,AD,CKDu,NA
INF2,INDEL,1,0.009009009009009009,AD,CKDu,NA
ITGA8,SNV,1,0.009009009009009009,AR,CKDu,NA
LDLR,SNV,1,0.009009009009009009,AD,CKDu,NA
LMNA,SNV,1,0.009009009009009009,AD,CKDu,NA
NPHP1,CNV,1,0.009009009009009009,AR,CKDu,NA
NPHP1,SNV,1,0.009009009009009009,AR,CKDu,NA
NPHS2,INDEL,1,0.009009009009009009,AR,CKDu,NA
NUP160,INDEL,1,0.009009009009009009,AR,CKDu,NA
OCRL,SNV,1,0.009009009009009009,XL,CKDu,NA
PIGV,SNV,1,0.009009009009009009,AR,CKDu,NA
PKD2,INDEL,1,0.009009009009009009,AD,CKDu,NA
PODXL,INDEL,1,0.009009009009009009,AD,CKDu,NA
REN,SNV,1,0.009009009009009009,AD,CKDu,NA
SLC12A3,SNV,1,0.009009009009009009,AR,CKDu,NA
SLC34A1,SNV,1,0.009009009009009009,AR,CKDu,NA
SLC3A1,SNV,1,0.009009009009009009,AD,CKDu,NA
SLC5A2,SNV,1,0.009009009009009009,AD,CKDu,NA
SLC7A9,SNV,1,0.009009009009009009,AR,CKDu,NA
SLC9A3R1,INDEL,1,0.009009009009009009,AD,CKDu,NA
SRCAP,SNV,1,0.009009009009009009,AD,CKDu,NA
TBC1D8B,SNV,1,0.009009009009009009,XL,CKDu,NA
TSC1,INDEL,1,0.009009009009009009,AD,CKDu,NA
TTC21B,SNV,1,0.009009009009009009,AR,CKDu,NA
VHL,SNV,1,0.009009009009009009,AD,CKDu,NA
WFS1,SNV,1,0.009009009009009009,AD,CKDu,NA
SLC12A3,SNV,9,0.2,AR,Tubulopathies,NA
CLCN5,SNV,4,0.08888888888888889,XL,Tubulopathies,NA
CLCNKB,SNV,3,0.06666666666666667,AR,Tubulopathies,NA
SLC7A9,SNV,3,0.06666666666666667,AR,Tubulopathies,NA
ATP6V1B1,INDEL,2,0.044444444444444446,AR,Tubulopathies,NA
CYP24A1,INDEL,2,0.044444444444444446,AR,Tubulopathies,NA
KCNJ1,SNV,2,0.044444444444444446,AR,Tubulopathies,NA
SLC12A3,INDEL,2,0.044444444444444446,AR,Tubulopathies,NA
AMPD2,INDEL,1,0.022222222222222223,AR,Tubulopathies,NA
AMPD2,SNV,1,0.022222222222222223,AR,Tubulopathies,NA
ATP6V0A4,INDEL,1,0.022222222222222223,AR,Tubulopathies,NA
ATP6V1B1,SNV,1,0.022222222222222223,AR,Tubulopathies,NA
AVPR2,INDEL,1,0.022222222222222223,XL,Tubulopathies,NA
AVPR2,SNV,1,0.022222222222222223,XL,Tubulopathies,NA
CASR,SNV,1,0.022222222222222223,AD,Tubulopathies,NA
CLCN5,INDEL,1,0.022222222222222223,XL,Tubulopathies,NA
CLDN16,SNV,1,0.022222222222222223,AR,Tubulopathies,NA
CTNS,SNV,1,0.022222222222222223,AR,Tubulopathies,NA
CYP24A1,SNV,1,0.022222222222222223,AR,Tubulopathies,NA
GRHPR,SNV,1,0.022222222222222223,AR,Tubulopathies,NA
OCRL,CNV,1,0.022222222222222223,XL,Tubulopathies,NA
PAX2,INDEL,1,0.022222222222222223,AD,Tubulopathies,NA
SLC34A1,INDEL,1,0.022222222222222223,AR,Tubulopathies,NA
SLC34A1,SNV,1,0.022222222222222223,AR,Tubulopathies,NA
SLC4A4,INDEL,1,0.022222222222222223,AR,Tubulopathies,NA
UMOD,SNV,1,0.022222222222222223,AD,Tubulopathies,NA
PKD1,SNV,100,0.2506265664160401,AD,Cystic,NA
PKD1,INDEL,71,0.17794486215538846,AD,Cystic,NA
PKD2,SNV,50,0.12531328320802004,AD,Cystic,NA
PKHD1,SNV,36,0.09022556390977443,AR,Cystic,NA
PKD2,INDEL,27,0.06766917293233082,AD,Cystic,NA
PKHD1,INDEL,8,0.020050125313283207,AR,Cystic,NA
HNF1B,SNV,3,0.007518796992481203,AD,Cystic,NA
COL4A3,SNV,2,0.005012531328320802,AD,Cystic,NA
HNF1B,INDEL,2,0.005012531328320802,AD,Cystic,NA
PKD2,CNV,2,0.005012531328320802,AD,Cystic,NA
BBS10,INDEL,1,0.002506265664160401,AR,Cystic,NA
COL4A4,SNV,1,0.002506265664160401,AD,Cystic,NA
COL4A5,INDEL,1,0.002506265664160401,XL,Cystic,NA
CUL7,INDEL,1,0.002506265664160401,AR,Cystic,NA
CYP24A1,SNV,1,0.002506265664160401,AR,Cystic,NA
JAG1,CNV,1,0.002506265664160401,AD,Cystic,NA
LRP5,CNV,1,0.002506265664160401,AD,Cystic,NA
MAP2K2,SNV,1,0.002506265664160401,AD,Cystic,NA
PKHD1,CNV,1,0.002506265664160401,AR,Cystic,NA
TMEM67,INDEL,1,0.002506265664160401,AR,Cystic,NA
TMEM67,SNV,1,0.002506265664160401,AR,Cystic,NA
TSC1,SNV,1,0.002506265664160401,AD,Cystic,NA
TSC2,SNV,1,0.002506265664160401,AD,Cystic,NA
NPHP1,CNV,14,0.2153846153846154,AR,Tubulointerstitial,NA
UMOD,SNV,7,0.1076923076923077,AD,Tubulointerstitial,NA
PAX2,SNV,3,0.046153846153846156,AD,Tubulointerstitial,NA
IFT172,SNV,2,0.03076923076923077,AR,Tubulointerstitial,NA
NPHP1,INDEL,2,0.03076923076923077,AR,Tubulointerstitial,NA
NPHP1,SNV,2,0.03076923076923077,AR,Tubulointerstitial,NA
AGXT,INDEL,1,0.015384615384615385,AR,Tubulointerstitial,NA
BBS12,INDEL,1,0.015384615384615385,AR,Tubulointerstitial,NA
BBS9,SNV,1,0.015384615384615385,AR,Tubulointerstitial,NA
CEP290,INDEL,1,0.015384615384615385,AR,Tubulointerstitial,NA
COL4A3,INDEL,1,0.015384615384615385,AD,Tubulointerstitial,NA
COL4A3,SNV,1,0.015384615384615385,AD,Tubulointerstitial,NA
DCDC2,INDEL,1,0.015384615384615385,AR,Tubulointerstitial,NA
DNASE1,CNV,1,0.015384615384615385,AD,Tubulointerstitial,NA
FAN1,INDEL,1,0.015384615384615385,AR,Tubulointerstitial,NA
FAN1,SNV,1,0.015384615384615385,AR,Tubulointerstitial,NA
FGF23,SNV,1,0.015384615384615385,AD,Tubulointerstitial,NA
FLCN,SNV,1,0.015384615384615385,AD,Tubulointerstitial,NA
GLI3,SNV,1,0.015384615384615385,AD,Tubulointerstitial,NA
HNF1B,CNV,1,0.015384615384615385,AD,Tubulointerstitial,NA
HNF1B,INDEL,1,0.015384615384615385,AD,Tubulointerstitial,NA
IFT140,SNV,1,0.015384615384615385,AR,Tubulointerstitial,NA
KCNA1,SNV,1,0.015384615384615385,AD,Tubulointerstitial,NA
NPHP4,INDEL,1,0.015384615384615385,AR,Tubulointerstitial,NA
NUP107,SNV,1,0.015384615384615385,AR,Tubulointerstitial,NA
OCRL,SNV,1,0.015384615384615385,XL,Tubulointerstitial,NA
REN,SNV,1,0.015384615384615385,AD,Tubulointerstitial,NA
SALL1,SNV,1,0.015384615384615385,AD,Tubulointerstitial,NA
SCNN1A,SNV,1,0.015384615384615385,AD,Tubulointerstitial,NA
TSC1,INDEL,1,0.015384615384615385,AD,Tubulointerstitial,NA
UMOD,INDEL,1,0.015384615384615385,AD,Tubulointerstitial,NA
MUC1,INDEL,4,0.036036036036036036,AD,CKDu,Difficult Locus (Separate Model)
MUC1,SNV,1,0.009009009009009009,AD,CKDu,Difficult Locus (Separate Model)
PKD1,INDEL,1,0.009009009009009009,AD,CKDu,Difficult Locus (Separate Model)
PKD1,SNV,1,0.009009009009009009,AD,CKDu,Difficult Locus (Separate Model)
PKD1,CNV,6,0.015037593984962405,AD,Cystic,Difficult Locus (Separate Model)
PKD1,INDEL,31,0.07769423558897243,AD,Cystic,Difficult Locus (Separate Model)
PKD1,SNV,48,0.12030075187969924,AD,Cystic,Difficult Locus (Separate Model)
MUC1,INDEL,5,0.07692307692307693,AD,Tubulointerstitial,Difficult Locus (Separate Model)
MUC1,SNV,5,0.07692307692307693,AD,Tubulointerstitial,Difficult Locus (Separate Model)
